signal,horizon,mean_ic,t_stat,years_same_sign,ic_2021,ic_2022,ic_2023,ic_2024
return_1d,fwd_1d,-0.0475,-6.54,4,-0.013,-0.0704,-0.0511,-0.0641
carry_score,fwd_1d,0.0238,3.42,4,0.0048,0.0208,0.047,0.0215
carry_score,fwd_5d,0.0436,2.91,4,0.0203,0.0343,0.0827,0.0303
return_5d,fwd_1d,-0.0177,-2.59,4,-0.0019,-0.0298,-0.0197,-0.0217
return_20d,fwd_5d,0.0342,2.25,3,0.0513,-0.0016,0.0315,0.0787
return_20d,fwd_1d,0.0129,1.83,3,0.0256,-0.0089,0.0083,0.0405
price_strength_60,fwd_5d,0.0288,1.78,4,0.0371,0.0073,0.0224,0.0695
price_strength_20,fwd_5d,0.023,1.48,3,0.0413,-0.0138,0.0344,0.0379
event_intensity,fwd_1d,0.0092,1.35,2,0.0304,-0.0098,0.0142,-0.0053
realized_vol_20d,fwd_1d,0.0086,1.22,2,-0.0033,0.0119,-0.0019,0.0474
liquidity_score,fwd_1d,-0.0075,-1.11,3,0.0094,-0.0074,-0.0177,-0.0213
price_strength_60,fwd_1d,0.0076,1.05,3,0.0235,-0.0134,0.0009,0.0311
volume_zscore,fwd_1d,-0.0071,-0.99,2,-0.0215,-0.0208,0.0089,0.0175
realized_vol_20d,fwd_5d,0.0129,0.84,2,-0.0196,0.0261,-0.0135,0.1082
price_strength_20,fwd_1d,-0.0058,-0.83,2,0.0128,-0.0318,-0.0017,0.0007
volume_trend,fwd_1d,-0.0055,-0.81,2,-0.0152,-0.0056,0.0004,0.0025
spread_bps,fwd_1d,0.0054,0.8,3,-0.007,0.0012,0.0158,0.0177
flow_index,fwd_5d,0.0107,0.69,4,0.0012,0.0187,0.0128,0.0096
return_1d,fwd_5d,-0.0099,-0.63,4,-0.0012,-0.0158,-0.0108,-0.0142
sentiment_score,fwd_1d,-0.0039,-0.57,2,0.006,-0.0119,0.0025,-0.0204
flow_index,fwd_1d,-0.0037,-0.54,2,0.0045,-0.0093,-0.0158,0.0153
intraday_range,fwd_5d,-0.0072,-0.47,2,-0.0297,0.0051,-0.0065,0.0124
volume_trend,fwd_5d,-0.0065,-0.44,3,0.0031,-0.0143,-0.0038,-0.0157
spread_bps,fwd_5d,0.006,0.41,3,-0.0255,0.0142,0.0262,0.0128
sentiment_score,fwd_5d,-0.006,-0.39,3,0.0291,-0.0194,-0.0139,-0.0353
intraday_range,fwd_1d,0.0027,0.38,3,-0.0205,0.0015,0.0211,0.0148
volume_zscore,fwd_5d,-0.0059,-0.37,3,-0.0179,-0.0039,0.0035,-0.0046
liquidity_score,fwd_5d,-0.0043,-0.29,3,0.0285,-0.0107,-0.0248,-0.017
realized_vol_5d,fwd_5d,0.0042,0.27,2,-0.0142,0.0064,-0.0118,0.0711
return_5d,fwd_5d,0.0021,0.13,3,0.0231,-0.019,0.0012,0.004
realized_vol_5d,fwd_1d,0.0002,0.03,3,-0.0155,0.0036,0.0012,0.023
event_intensity,fwd_5d,0.0001,0.0,2,0.0162,-0.0114,0.0019,-0.0136
